,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
145,Face to Face Cat 27 Years Sectionwise & Topicwise Solve...,4.4,426,309,535,42,English,Paperback,Sijwalii B.S.,41-50
146,R S Aggarwal Verbal And Non Verbal Reasoning,4.5,215,649,850,23,English,Paperback,R S AGGRAWAL,21-30
147,KVPY 11 Years Solved Papers 2019-2009 Stream SB/SX,4.6,136,199,295,32,English,Paperback,Mansi Garg,31-40
148,Vastunisth Samanya Vigyan - (Objective General Science)...,4.0,47,179,190,5,Hindi,Paperback,Gupta R.,1-10
149,An Introduction To Indian Art Part 1 : Textbook In Fine...,4.3,81,160,229,30,English,Paperback,NCERT,21-30
150,Purvavlokan Indian History Part-2 2020 (20116-C),4.8,33,331,390,15,English,Paperback,SSGCP GROUP,11-20
151,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
152,Important Judgements That Transformed India,4.5,2508,229,270,15,English,Paperback,unknown,11-20
153,Breaking The Code of SSB Psychological Tests,4.4,1619,350,390,10,English,Paperback,SSBCrack,1-10
154,Geography A Comprehensive Study By Mahesh Kumar Barnwal...,4.4,666,241,425,43,English,Paperback,MAHESH KUMAR BARNWAL,41-50
155,Rukmini Railway Reasoning Previous Year Solved (Vol-1),4.2,430,140,156,10,English,Paperback,Rukmini Prakashan,1-10
156,Objective Physics Vol.-1 & Vol. 2 For NEET,4.5,241,1080,1398,22,English,Paperback,DC PANDEY,21-30
157,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
158,Objective Physics Vol.-1 & Vol. 2 For NEET,4.5,241,1189,1400,15,English,Paperback,DC PANDEY,11-20
159,Indian Economic Development Textbook For Class Xi,4.3,1168,120,125,4,English,Paperback,NCERT,1-10
160,Saraswati Health And Physical Education Class - 12,4.4,783,265,280,5,English,Paperback,V. K. Sharma,1-10
161,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
162,CBSE All In One Social Science Class 10 for 2021 Exam,4.5,1203,335,445,24,English,Paperback,Pattrea Madhumita,21-30
163,Banking Awareness for SBI & IBPS Bank Clerk/ PO/ RRB/ R...,4.4,263,187,260,28,English,Paperback,Disha Experts,21-30
164,Ancient India Old NCERT History Textbook By RS Sharma,4.2,2728,159,250,36,English,Paperback,RS Sharma,31-40
165,Mathematical Physics,4.4,252,750,875,14,English,Paperback,Dass H.K.,11-20
166,The Tempest (Text With Paraphrase) - Xavier Pinto,4.5,468,185,220,15,English,Paperback,XAVIER PINTO,11-20
